Business Year,State,Insurer ID,Price Gap,Price Gap (Previous Year),Market Share (%),Market Share (%) (Previous Year),Medicaid Expansion Impact,Medicaid Expansion Impact (Previous Year),Plan Count,Plan Count (Previous Year),Market Exit
2025,Florida,74243,-9,-9,0.006224066,0.005902607,0,0,12,12,0
2023,Florida,86382,-9,,0.044327573,,0,,118,,0
2024,Florida,86382,-9,-9,0.051155927,0.044327573,0,0,104,118,0
2025,Florida,86382,-9,-9,0.019190871,0.051155927,0,0,37,104,0
2023,Florida,92120,-9,,0.030052592,,0,,80,,1
2023,Florida,97725,-9,,0.003380917,,0,,9,,0
2024,Florida,97725,-9,-9,0.004426955,0.003380917,0,0,9,9,0
2025,Florida,97725,-9,-9,0.00466805,0.004426955,0,0,9,9,0
2023,Florida,98534,-9,,0.000375657,,0,,1,,0
2024,Florida,98534,-9,-9,0.000491884,0.000375657,0,0,1,1,1
2023,Florida,98869,-9,,0.001878287,,0,,5,,0
2024,Florida,98869,-9,-9,0.00245942,0.001878287,0,0,5,5,0
2025,Florida,98869,-9,-9,0.002593361,0.00245942,0,0,5,5,0
2023,Florida,99787,-9,,0.000751315,,0,,2,,1
2026,Florida,,-9,,,,0,,0,,0
2023,Georgia,15105,-11,,0.057498518,,0,,97,,0
2024,Georgia,15105,-11,-11,0.051302932,0.057498518,0,0,63,97,1
2023,Georgia,22500,-11,,0.002371073,,0,,4,,0
2024,Georgia,22500,-11,-11,0.003257329,0.002371073,0,0,4,4,1
2023,Georgia,37001,-11,,0.001185536,,0,,2,,0
2024,Georgia,37001,-11,-11,0.001628664,0.001185536,0,0,2,2,1
2023,Georgia,37301,-11,,0.002963841,,0,,5,,0
2024,Georgia,37301,-11,-11,0.004071661,0.002963841,0,0,5,5,1
2023,Georgia,43802,-11,,0.057498518,,0,,97,,0
2024,Georgia,43802,-11,-11,0.066775244,0.057498518,0,0,82,97,1
2024,Georgia,45334,-11,,0.029315961,,0,,36,,1
2023,Georgia,49046,-11,,0.195613515,,0,,330,,0
2024,Georgia,49046,-11,-11,0.230456026,0.195613515,0,0,283,330,1
2023,Georgia,55612,-11,,0.000592768,,0,,1,,1
2023,Georgia,58081,-11,,0.078245406,,0,,132,,0
2024,Georgia,58081,-11,-11,0.052931596,0.078245406,0,0,65,132,1
2023,Georgia,60224,-11,,0.054534677,,0,,92,,0
2024,Georgia,60224,-11,-11,0.063517915,0.054534677,0,0,78,92,1
2023,Georgia,63940,-11,,0.001185536,,0,,2,,1
2023,Georgia,64357,-11,,0.007113219,,0,,12,,0
2024,Georgia,64357,-11,-11,0.009771987,0.007113219,0,0,12,12,1
2023,Georgia,68806,-11,,0.003556609,,0,,6,,0
2024,Georgia,68806,-11,-11,0.004885993,0.003556609,0,0,6,6,1
2023,Georgia,70893,-11,,0.183165382,,0,,309,,0
2024,Georgia,70893,-11,-11,0.131107492,0.183165382,0,0,161,309,1
2023,Georgia,82824,-11,,0.071132187,,0,,120,,0
2024,Georgia,82824,-11,-11,0.042345277,0.071132187,0,0,52,120,1
2023,Georgia,83502,-11,,0.004742146,,0,,8,,0
2024,Georgia,83502,-11,-11,0.006514658,0.004742146,0,0,8,8,1
2023,Georgia,83761,-11,,0.111440427,,0,,188,,0
2024,Georgia,83761,-11,-11,0.179153094,0.111440427,0,0,220,188,1
2023,Georgia,86637,-11,,0.004149378,,0,,7,,0
2024,Georgia,86637,-11,-11,0.002442997,0.004149378,0,0,3,7,1
2023,Georgia,89942,-11,,0.099585062,,0,,168,,0
