State,Notes,Total Medicaid Enrollees,Comprehensive MCO with or without MLTSS,PCCM,MLTSS only,BHO (PIHP and/or PAHP),Dental,Transportation,PACE,Other,Year,PCCM Entity
Oklahoma,,"790,443",--,"529,050",--,--,--,"645,075",537,--,2019,--
Oregon11,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Managed Dental Care of Oregon; ODS Community Health, Inc.; and Family Dental Care, or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.","1,080,170","914,537",--,--,--,--,--,"1,481",--,2019,--
Pennsylvania,,"2,827,289","2,434,956",--,--,"2,587,654",--,"621,588","7,295",172,2019,--
Puerto Rico,,"1,331,694","1,331,694",--,--,--,--,--,--,--,2019,--
Rhode Island,,"312,141","258,954",--,--,--,"113,240","290,144",320,--,2019,--
South Carolina,,"1,253,433","801,150",666,--,--,--,"1,253,433",416,--,2019,--
South Dakota,,"122,209",--,"90,253",--,--,--,--,--,--,2019,--
Tennessee,,"1,565,485","1,437,402",--,--,--,--,--,285,--,2019,--
Texas,,"3,878,840","3,577,456",--,--,--,"1,710,062","3,740,712","1,177",--,2019,--
Utah,,"290,203","215,764",--,--,"255,795","199,104","239,666",--,--,2019,--
Vermont12,,"166,114","108,731",--,--,--,--,--,--,--,2019,--
Virgin Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2019,n/a
Virginia,,"1,460,075","1,274,510",--,--,--,--,--,"1,418",--,2019,--
